ID,Format,Topic,Difficulty,Question,Answer,Used,Freshness,ID Search,Answer Search,,,,,,,,,,,,,,,,,,,,,,
Q1001,Multi,Biology/Zoology,3,"Which of these birds has the longest wingspan- Pelican, Heron, or Stork?",Pelican,Not Found,Fresh,Not Found,Not Found,,,,,,,,,9/14/2026 10:49:26,,,,,,,,,,,,,
Q1002,Open,Biology/Zoology,1,What fruit was created when a pomelo was crossed with a mandarin?,Orange,May 5 26,18,Not Found,May 5 26,,,,,,,,,,,,,,,,,,,,,,
Q1003,Open,Biology/Zoology,5,Which bird species completes the longest annual migration by distance?,Arctic Tern,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1004,Open,Biology/Zoology,1,What is the largest marsupial?,Kangaroo/Red Kangaroo,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1005,Multi,Biology/Zoology,2,"Is a Red Panda more closely related to the Great Panda, Red Fox, or Common Raccoon?",Common Raccoon,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1006,Open,Biology/Zoology,4,Which mammal has the densest Fur?,Otter/Sea Otter,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1007,Open,Biology/Zoology,3,What is the only mammal capable of true sustained flight?,Bat,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1008,Open,Biology/Zoology,3,A group of crows is commonly known as a “murder.” What is a group of owls called?,Parliment,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1009,Open,Biology/Zoology,4,Which marsupial is known for having fingerprints nearly indistinguishable from those of humans?,Koala,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1010,Open,Biology/Zoology,1,Which animal uses echolocation and has been trained by navies to detect mines and divers?,Dolphin,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1011,Open,Biology/Zoology,3,Which flightless bird is native to New Zealand and lays one of the largest eggs relative to its body size?,Kiwi,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1012,Open,Biology/Zoology,4,Which crustacean can deliver a punch so fast that it creates cavitation bubbles hotter than the surface of the Sun?,Mantis Shrimp,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1013,Open,Biology/Zoology,3,What is the term for an organism that can survive without oxygen?,Anerobic,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1014,Open,Biology/Zoology,4,"What is the zoological term for animals active during twilight, such as many bats, cats, and insects?",Crepuscular,March 24 26,24,Not Found,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1015,Open,Biology/Zoology,2,What vitamin deficiency causes scurvy?,Vitamin C,May 5 26,18,Not Found,May 5 26,,,,,,,,,,,,,,,,,,,,,,
Q1016,Open,Biology/Zoology,2,What blood type is considered the universal donor?,O– (Oh Negative),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1017,Open,Fashion,5,"Named for a famous british novel, this Conde Nast magazine is their 2nd most popular fashion-centric publication",Vanity Fair,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1018,Open,Fashion,5,"During the French Revolution, men and women wore different colored WHAT in order to signify their affiliations",Scarf,May 12 26,17,Not Found,May 12 26,,,,,,,,,,,,,,,,,,,,,,
